회사명,대표이사,홈페이지,본사주소,재무현황연도
주식회사 예스정보통신,정경희,http://,"경상남도 진주시 서장대로393번길 14  (남성동,1층)",2022
(주)미래플랜,하동준,http://,"부산광역시 해운대구 센텀중앙로 66, 906호(우동, 태아티타워)",2022
다임소프트 주식회사,노정일,http://www.dimesoft.co.kr,"서울특별시 구로구 디지털로 288, 2층 207-알218호 (구로동, 대륭포스트타워1차)",2022
아이지티소프트 주식회사,김금숙,http://,"경기도 용인시 기흥구 동백중앙로 191, 8층 에이8301호(중동, 씨티프라자)",2022
(주)사사연,장형규,http://,"서울특별시 강남구 논현로86길 32, 4층(역삼동, 삼우빌딩)",2022
주식회사 휙고,"이강휘, 홍시현",https://hwikgo.com/,"서울특별시 중구 퇴계로 97, 4층 402호(충무로1가, 고려대연각타워)",2022
포스트맨,박해진,http://,"대구광역시 북구 침산로21길 23, 오피스텔동1402호 (침산동, 침산1차푸르지오)",2022
주식회사 한다기술,주미영,http://,"서울특별시 성동구 성수이로 66, 203호 (성수동2가, 서울숲 드림타워)",2022
이클릭미디어(주),한정화,http://eclick21.com,"서울특별시 구로구 공원로 3, 413호(구로동,  구로선경오피스텔)",2022
주식회사 모두네트웍스,임정균,http://,광주광역시 광산구 도천남길 41-31 (도천동),2022
소프트시티 주식회사,노희수,http://www.softcity.co.kr,"서울특별시 강남구 도산대로54길 18 (논현동, 소프트시티)",2022
(주) 인포레버컨설팅,안상훈,http://www.infoever.co.kr,"서울특별시 금천구 가산디지털1로 168 비-412(가산동,우림라이온스밸리)",2022
스피드정보통신,김상기,http://,"경상북도 구미시 형곡로 249(형곡동, 1층 104호)",2022
주식회사 위디어,박정원,http://www.withere.com,"서울특별시 구로구 디지털로26길 123, 310호 (구로동, 지플러스타워)",2022
하소로,김옥림,http://,"제주특별자치도 제주시 우정로10길 29, 301호 (외도일동, 더펠리스 1차)",2022
주식회사 유진에스엔티,박영애,http://,"서울특별시 구로구 부광로 96-5, 817호(항동, 구로에이스캠프)",2022
주식회사 데이사이드,신윤철,http://www.dayside.co.kr,"서울특별시 강남구 도산대로 235, 6층 (신사동, 평화빌딩)",2022
메타로,이은영,https://gathertown.modoo.at/,"인천광역시 부평구 길주남로 81, 2층 메타로(부평동)",2022
스페이스투고 주식회사,고경,http://,"서울특별시 마포구 토정로25길 37, 101호 (대흥동)",2022
디자인누하,방영순,http://designnuha.co.kr,"서울특별시 성동구 광나루로 156, 3층 302호 (성수동1가)",2022
거베라,윤아영,http://,"경기도 시흥시 호현로9번길 6, 1212호 (신천동, 아도니스의꿈)",2022
뚱스컴,양우주,http://blog.naver.com/ych2334,"경상남도 고성군 고성읍 성내로 108, 1층 전체(제1층)",2022
주식회사 케이에어,박형태,http://www.ko-air.com,"충청남도 천안시 서북구 2공단2로 95, 509 (차암동, 천안테크노타운)",2022
한결이엔지(주),정운기,http://,"경기도 수원시 권선구 동수원로146번길 79, 301호 (곡반정동)",2022
모두의마을미디어협동조합,최한민,http:// www.gwangeo.kr,"대전광역시 서구 관저중로80번길 8, 지하1층 (관저동)",2022
주식회사 엔더스,김병태,http://www.enders.co.kr,"서울특별시 강남구 테헤란로84길 14, 11층(대치동)",2022
주식회사 비넥트,유대종,http://www.vinect.co.kr,"서울특별시 강남구 언주로71길 13, 3층 (역삼동, 선광빌딩)",2022
밝은터,김광철,http://ulightbase.com,"대구광역시 동구 율하동로17길 46, 3층 303호 (율하동)",2022
제이엘아이앤씨,장신애,http://,"경기도 용인시 기흥구 동백중앙로 191, 8층 에이8712호(중동, 씨티프라자) ",2022
(주)신화전기,김동수,http://,"충청남도 태안군 태안읍 후곡로 66, 102호",2022
주식회사 동민전기통신,김지인,http://,충청남도 태안군 태안읍 안면대로 171-6,2022
주식회사 엠브이랩,심재민,http://,"강원도 춘천시 서면 박사로 900, 101호",2022
주식회사 퍼니포커스,김환영,http://www.funnyfocus.co.kr,"서울특별시 성동구 성수이로 147, 1303,1304호 (성수동2가, 아이에스비즈타워)",2022
애드넷정보통신 주식회사,"박상인, 박상흥",http://,"서울특별시 송파구 송파대로22길 19, 2층 (문정동)",2022
(주)에스엠시스템,김성민,http://appspeed.net,"경기도 성남시 분당구 판교로289번길 20, 3동 2층 B-9호 디지털오픈랩(삼평동, 판교테크노밸리 스타트업 캠퍼스)",2022
(주)두어시스템,두도언,http://www.doasys.com,"서울특별시 구로구 디지털로27길 36 (구로동,이-스페이스 803호)",2022
엘비에스 테크(LBS TECH),이시완,https://www.lbstech.net/,"서울특별시 서대문구 경기대로 47, 308호 (충정로2가, 진양빌딩)",2022
주식회사 고업,정상우,http://goup.co.kr,"경기도 하남시 미사대로 520, D동 9층 906호(덕풍동, 현대지식산업센터 한강미사2차)",2022
중부대학교산학협력단,이주헌,http://www.iacf.co.kr:5444/index.php,충청남도 금산군 추부면 대학로 201,2023
구이일그라픽스,최동석,http://www.921design.co.kr,"대전광역시 서구 둔산대로117번길 44, 엑스포오피스텔 911호 (만년동)",2022
아이디스파워텔 주식회사,김영달,www.idispowertel.com,"서울특별시 영등포구 국제금융로2길 36, 18,19층 (여의도동)",2022
주식회사 켐아이티에스,유태식,http://kemits.com,"서울특별시 양천구 목동서로 77, 821호 (목동, 현대월드타워)",2022
주식회사 다인에스엔티,이정한,http://dainsnt.co.kr,"경기도 용인시 기흥구 기흥로 58, B동 1109호 (기흥ICT밸리 SK V1)(구갈동)",2022
주식회사 오디피아,박동철,http://www.odpia.com,"대전광역시 서구 둔산대로117번길 44, 314호 (만년동, 엑스포오피스텔)",2022
(주)미네르바에듀,추철민,http://www.minervaedu.kr,"경상남도 김해시 관동로 14, 403호 (관동동, 경남콘텐츠기업지원센터)",2022
아더웍스주식회사,최은향,http://www.ardorworx.co.kr,"서울특별시 서초구 마방로6길 37(양재동, 영동빌딩)",2022
주식회사 동광전기,김상섭,http://,"강원도 원주시 영랑길 20-1, 5층 502호 (행구동, 원주 행구동 골드클래스 상가동)",2022
JS전광,우영대,http://www.jsled.co.kr,"대구광역시 수성구 만촌로24길 59, 1층 (만촌동)",2020
(주)조이스터디,장석민,http://joystudy.com,"서울특별시 동작구 사당로 279 (사당동), 501호",2022
(주)아미소프트,유건우,http://amiesoft.com,"서울특별시 강남구 강남대로94길 67, 7층 (역삼동, 도연빌딩) ",2022
주식회사 드웰링,전정환,http://dwelling.co.kr,"서울특별시 강남구 논현로128길 16-2 (논현동, JH빌딩)",2022
주식회사 브이에프엑스픽셀,박정만,http://,"서울특별시 마포구 월드컵북로 396, 연구개발타워 10층 1008호 (상암동, 누리꿈스퀘어)",2022
주식회사 세인전기정보통신,임식,http://,충청북도 청주시 흥덕구 서부로 967-39 (신전동),2022
주식회사 플랜엑스,단미현,http://,"서울특별시 금천구 가산디지털2로 166, 2층 221호 (가산동, 에스케이원타워)",2022
주식회사 이너모션,서윤경,http://www.inner-motion.com,"서울특별시 종로구 북촌로 21, 3층 (재동)",2022
주식회사 소프트하이브,김지현,http://,"경기도 김포시 고촌읍 장차로5번길 15, 402호 7-디5",2022
셀럽커뮤니케이션즈,김재중,https://celebwordpress.com,"서울특별시 중구 퇴계로 213, 309-08호 (충무로4가, 일흥빌딩)",2022
소유채널(SOYOUCHANNEL),장미연,http://,"인천광역시 강화군 선원면 중앙로 274, 102동 1401호 (세광엔리치빌1차)",2022
(주)복개전설,라성주,http://,경기도 이천시 중부대로 1193-48 (장록동),2022
(주)비바소프트,김순기,http://,"서울특별시 마포구 양화로 127, 3층 (서교동)",2022
주식회사 올아이티,박성렬,http://,경상북도 구미시 임은5길 7(임은동),2022
주식회사 알피오,모지현,http://,"서울특별시 금천구 가산디지털2로 98, 1동 11층 1107,1108호 (가산동, IT캐슬)",2022
(주) 카택스,안재희,http://cartax.biz,"대구광역시 남구 현충로 170, 304호 (대명동, 영남이공대학 산학협력관)",2023
위고데이터 주식회사,고민균,http://wigodata.com,"강원도 춘천시 동내면 춘천순환로 67, 4층 (장도빌딩)",2022
주식회사 씨엠3,김애경,http://www.cm3net.co.kr,"충청북도 청주시 흥덕구 봉명로 31, 701호(복대동, 봉명동, 티원타워지식산업센터)",2022
(주)굿게이트,박영신,www.goodgate.co.kr,"서울특별시 양천구 목동동로 233-1 , 1501호 (목동,현대드림타워)",2022
주식회사 신일이앤씨,최문홍,http://www.si21.co.kr/,대구광역시 중구 태평로 113-45 (태평로3가),2022
주식회사 제스원,원승혁,http://,"대구광역시 수성구 알파시티1로42길 11, 10층 1011호(대흥동)",2022
(주)포커스타임,조형진,http://www.focustime.co.kr,"경기도 하남시 미사강변한강로 155, 313호 (망월동, 미사강변 SK V1 center)",2022
주식회사 소셜앱스,박정용,http://www.socialapps.co.kr,"서울특별시 송파구 법원로11길 7, C동 1325호 (문정동, 문정현대지식산업센터1-2)",2022
(주)테눅스,전석순,http://,"서울특별시 송파구 문정로 165, 501호 (가락동, 대영빌딩)",2022
대통산업 (주),정원식,http://,"충청북도 청주시 상당구 남일면 효촌송암길 20-16, 101호",2022
초콜릿필름,김성중,www.chocolatefilm.co.kr,"서울특별시 마포구 월드컵북로4길 8, 3층(동교동)",2022
주식회사 뱅가드랩,김종영,http://,"서울특별시 구로구 디지털로32길 30, 제12층 제1201호 (구로동, 코오롱디지털타워빌란트)",2022
비너스타,최샛별,http://,"경기도 화성시 메타폴리스로 42, 9층 902호 F26 (반송동, 디앤씨빌딩)(반송동, 디앤씨빌딩)",2022
주식회사 지엔이노베이션,박성훈,http://,"서울특별시 영등포구 양평로 149, A동 1408호 (양평동5가, 선유도 우림라온스밸리)",2022
레드우즈콘텐츠,이재원,http://,"강원도 원주시 지정면 기업도시로 229, 7층 제에이701호(더시티)",2022
와이엠파트너즈,선용문,http://,"서울특별시 금천구 가산디지털1로 204, 1114호,1615호 (가산동)",2022
(주)허브넷컴퍼니,권영식,http://www.hubnet.kr,"대전광역시 유성구 유성대로 772, 3층 301호 (장대동)",2022
주식회사 에드위너,구태형,http://,"서울특별시 구로구 디지털로 272, 210호 (구로동, 한신아이티타워)",2022
주식회사 시스트란,김유석,http://www.systran.co.kr,"대전광역시 서구 둔산중로 8, 10층(탄방동, 한국교직원공제회대전회관)",2022
(주)코더스하이,윤성관,http://,"서울특별시 강남구 도곡로 126, 2층 202호 (도곡동, 오복빌딩)",2022
(주)퓨처랩,권석원,http://,"강원도 속초시 교동로 51, 3층 329호 (교동)",2022
주식회사 지오트윈공간정보,"양준영,이미희",http://,"제주특별자치도 제주시 선사로 1, 2층 (삼양이동)",2022
주식회사 잇펀,명현,http://,"경상남도 창원시 마산회원구 삼호로 38, 922호 (양덕동, 한백빌딩)",2022
주식회사앤트,이상윤,https://www.aaant.co/,"대전광역시 유성구 대학로 99, 대전팁스타운 코워킹스페이스 (궁동, 충남대학교)",2022
(주)한울정보통신,공철표,http://,"부산광역시 해운대구 해운대로1105번길 32-7, 3층 (송정동)",2022
주식회사 이젠인터랙티브,조광희,http://ezen-i.com,"서울특별시 강남구 역삼로 558, 8층 (주)이젠인터랙티브 (대치동, 안양빌딩)",2022
주식회사 앙트러리얼리티,이동윤,http://another.town,"충청남도 천안시 서북구 백석공단1로 10, M439호 (백석동, 천안 미래에이스하이테크시티)",2022
수다커머스 주식회사,이송학,http://sudatv.kr,"광주광역시 서구 풍암순환로 137, 1층 (풍암동)",2022
(주)제이엠랩,김정민,http://,"경기도 성남시 분당구 황새울로200번길 32, 4층 406호 (수내동, 삼라마이다스빌)",2022
지구종합상사,이규철,http://,"경기도 용인시 수지구 신봉2로 30, 2층 206호 (신봉동, 미래빌딩)",2022
(주)신성씨앤에스,전성우,http://www.sinsungcns.com,"서울특별시 금천구 가산디지털1로 19, 1301-1305호 (가산동, 대륭테크노타원 18차)",2022
(주)유아인스,손애숙,http://www.u-ins.co.kr,"경기도 안양시 동안구 시민대로 230, 지니센터 디동 14층 1448호 (관양동, 평촌아크로타워)",2022
세원시스템,정호덕,http://,"강원도 원주시 서원대로 514, 3층 (단구동)",2022
(주)에이클라우드,강효헌,http://www.a-cloud.co.kr,"서울특별시 강남구 테헤란로 423, 2층 (삼성동, 현대타워)",2022
(주)엔투솔루션,문권호,www.n2solution.com,"경기도 성남시 분당구 탄천상로 164, C동 211호(구미동, 시그마2오피스텔)",2022
(주)엘테크,윤현수,http://e-l.co.kr,"대전광역시 유성구 테크노9로 35, 309호, 310호(탑립동, 무선통신융합지원센터)",2022
(주)그래잇,최문기,http://,"경기도 용인시 기흥구 동백중앙로 191, 8층 843호 (중동, 씨티프라자)",2022
(주)그루넷,권영식,http://www.grunet.co.kr,"서울특별시 강남구 논현로 507, 1315호 (역삼동, 성지하이츠3차)",2022
주식회사 알위즈,정청수,http://,"경기도 고양시 덕양구 서정로 74, 2층 (도내동)",2022
아카이브센터(주),이연창,http://archivecenter.co.kr,"서울특별시 용산구 청파로47길 11, 5층 (청파동3가)",2022
(주)포럼텍,이동용,http://,"대전광역시 유성구 반석동로 51-11, 포럼빌딩 4층 (반석동)",2022
온(ON),김창훈,http://,"충청남도 아산시 배방읍 호서로79번길 20, 301호(호서대학교, 호서벤처밸리)",2022
오케이통신(주),천중영,http://oktel.co.kr,"경기도 고양시 일산서구 가좌로 54, 609호 (가좌동, 주안비티센터2차)",2022
바름기술,조성심,http://,"부산광역시 수영구 망미번영로38번길 100, 108동 2층 202호 상가동 2층(광안동, 광안동일스위트아파트)",2022
(주)엠에프모빌리티,오창규,http://,"경기도 고양시 일산동구 정발산로 24, 티3-523호 (웨스턴돔타워3차,장항동)",2022
(주) 삼성정보통신,류재복,http://,충청북도 음성군 금왕읍 리노산단길 45,2022
(주)지엠티나인,홍미자,http://www.gmt9.io,"경기도 김포시 고촌읍 장차로13번길 25, 302-5호(세종프라자)",2022
주식회사 유캠퍼스,김기남,http://Ucampus.ac,서울 영등포구 영신로17길 3 (영등포동),2022
라미 주식회사,김철환,http://www.ramiverse.com,"경기도 광명시 일직로 43, 에이동 2406호 (일직동, 광명역 GIDC) ",2022
주식회사 플랜인피닛,유창선,http://,"서울특별시 송파구 법원로11길 25, A동 4층 15호 (문정동)",2022
주식회사 비전,성철석,http://,"전북특별자치도 정읍시 정읍남로 1389, 2층 (시기동)",2022
(주) 나인에이피,이중경,http://,"서울특별시 송파구 법원로8길 13, 1310호 (문정동, 문정헤리움써밋타워)",2022
주식회사에프엠투,정성훈,http://,"충청남도 천안시 서북구 두정상가3길 33, 601호 (두정동, 영산프라자)",2022
(주)뷰카마인드,박영신,http://www.vucamind.co.kr/,"서울특별시 서초구 서초중앙로 69, 5층 6호 (서초동, 르네상스빌딩)",2022
엔에이정보통신 주식회사,나준제,http://,"서울특별시 금천구 두산로 70, 6층 615호 (독산동, 현대지식산업센터)",2022
홀리츠,박병호,https://holich.net,"서울특별시 서초구 마방로2길 49, 3층 (양재동)",2022
주식회사 크리에이트나인,이소연,http://,"충청북도 청주시 상당구 문의면 문의시내로 23, 1층",2022
(주)알앤디비,하종규,http://www.rndb.co.kr,"경기도 하남시 미사강변한강로 135, 나동 3층 358호(망월동, 미사강변 스카이폴리스)",2022
주식회사 컴퓨터메이트경기,이호완,http://,"경기도 부천시 범안로219번길 71, 715.716호(옥길동, 옥길지식산업센터)",2022
(유)호남정보시스템,김문학,http://,전라남도 목포시 백년대로 252 (상동),2022
사단법인 안보경영연구원,전건욱,http://www.smikorea.org,"서울특별시 강남구 언주로 527, 10층 (역삼동, 강남텔레피아빌딩)",2022
(주)엘제이에스엔시,이병덕,http://www.ljsnc.co.kr,"서울특별시 송파구 송파대로 201, 테라타워2 B동 1709호 (문정동)",2022
(주)메타엠,신인수,http://,"서울특별시 강남구 언주로 725, 동관 6층 (논현동)",2022
(주)엔지스소프트,우철호,http://,"서울특별시 마포구 마포대로 127, 1022호(공덕동, 풍림브이아이피텔)",2022
"주식회사 더포스엣지(The 4th edge Co.,Ltd.)",천정기,http://,"서울특별시 강남구 테헤란로82길 15, 813호(대치동,디아이타워)",2022
스페이스이엔지 주식회사,백봉희,http://,"서울특별시 강남구 삼성로 508, 2동 9층 903호 (삼성동, LG트윈텔2)",2022
자연미디어주식회사,홍명주,http://www.mediajy.co.kr,"세종특별자치시 국세청로 4, 713-2호 (나성동, 갤러리 세종프라자)",2022
주식회사 드림씨엔씨,김애안,http://,전라남도 무안군 몽탄면 남천길 71-1,2022
(주)흐름코퍼레이션,김철현,http://www.hrum.co.kr,"경상남도 창원시 의창구 원이대로 240번길 31 (명서동, (주) 케이티서창원지점 3층)",2022
인테그랄미디어,한윤정,http://integralmedia.kr,"서울특별시 관악구 남현2길 62, 402호 (남현동)",2022
퍼펙트리,김영애,http://,"대구광역시 서구 문화로 325-3, 502호 (비산동, 꿈그린빌)",2022
(주)감자소프트,이성주,http://,"경기도 파주시 경의로 1114, 4층 406호 (야당동, 에펠타워)",2022
(주)아이오아이,김지현,http://www.ioidesign.co.kr,"인천광역시 부평구 부평대로 293, 1014호 (청천동)",2022
주식회사 윌두,임효식,http://www.willdo.co.kr,"서울특별시 금천구 가산디지털2로 67 601(가산동,에이스하이엔드타워7차)",2022
세기정보통신,주석환,http://,"울산광역시 울주군 서생면 진하길 8, 201호",2022
주식회사 날비컴퍼니,이용수,http://nalbi.ai,"서울특별시 강남구 삼성로 555, 4층 (삼성동, 알앤텍빌딩)",2022
주식회사 블루소프트,이국화,http://,"경기도 안양시 동안구 흥안대로427번길 57-2, 1406호 (평촌동, 아이에스비즈타워)",2022
에너지기술서비스 주식회사,박성덕,http://www.ets0404.com,"서울특별시 금천구 가산디지털1로 1, 505호 1108호(가산동, 더루벤스밸리)",2022
창원엠텍,배영호,http://,"경상남도 창원시 성산구 완암로 50, Sk테크노파크 넥스동 414호 (성산동)",2022
유소프,장유진,http://,"전라남도 여수시 삼동3길 17, 505호 (주삼동, 전남여수산학융합지구기업연구관)",2022
리스앙쥬화장품,김윤정,http://,대구광역시 서구 달서로30길 12 (비산동),2022
주식회사 영남이엔지,이미영,http://,"경상북도 안동시 서후면 풍산태사로 2483-7, 주식회사 영남이엔지",2022
(주)엠제이테크넷,조윤정,http://,"경기도 성남시 중원구 사기막골로62번길 33,  제11층 제에프1104,1105호 (상대원동,성남센터엠지식산업센터)",2022
(주)하나비투비,김대욱,http://hanab2b.kr,"부산광역시 해운대구 센텀서로 30, 1504호 (우동, 케이엔엔타워)",2022
주식회사 에스아이티코리아,신문수,http://sit.co,충청남도 아산시 음봉면 연암율금로 222-10,2022
주식회사 도레미파,김아름,http://doremifa.kr,"인천광역시 연수구 컨벤시아대로 204, 2층 205호 (송도동, 인스타2)(송도동)",2022
유진,이도경,http://,"인천광역시 서구 가정로38번길 18, 9-1호 (가좌동)",2022
애쉬텍 주식회사,송선의,http://,"서울특별시 서초구 논현로 79, 15층 1512호 (양재동, 윈드스톤오피스텔)",2022
가온샘 주식회사,"정정숙, 유명수",http://,"인천광역시 부평구 평천로 386, 5층 (삼산동, 지센빌딩)",2022
(주)세드나,안지환,http://sedna-lab.com,"대전광역시 유성구 유성대로 1205번길 10, 1층(자운동, (주)에세텔)",2022
주식회사 푸른미디어,이지연,http://,"경기도 고양시 일산동구 일산로 138, 공장동 4층 413호 (백석동, 일산테크노타운)",2022
(주)케이지엔지니어링종합건축사사무소,천병희,http://www.kgenc.co.kr,경기도 의정부시 의정로 20 (의정부동),2022
주식회사 룩엔에스,권중제,http://,"경기도 하남시 미사대로 550, 에이동 407, 408, 409호 (덕풍동, 현대지식산업센터 한강미사)",2022
주식회사 온페이스게임즈,김민석,http://,"서울특별시 마포구 와우산로29다길 20(서교동, 아셈코어)",2022
(주)블루앤아이,김범호,http://www.blue-ni.com,제주 제주시 용남1길 19-1(용담일동),2022
주식회사 바운드포,황인호,http://bound4.co.kr,"서울특별시 강남구 언주로 617, 3층 (논현동)",2022
삼영정보통신 주식회사,양성봉,http://,제주특별자치도 제주시 아란서길 70-45 (아라일동),2022
주식회사 한국아이티마스터즈,김우규,http://www.itmasters.co.kr,"서울특별시 강남구 강남대로 484, 506호 (논현동, HK빌딩)",2022
태승이엔지,최승태,http://,"충청남도 천안시 서북구 쌍용18길 69, 201동 209호 (쌍용동, 시영2차근로복지아파트)",2022
유한책임회사 이언,유용미,http://eongroup.co.kr,"서울특별시 중구 청게천로 100, 10층 1047호(수표동, 시그니쳐타워)",2022
(사)희망근로장애인협회,신창균,http://hope569.co.kr,"충청남도 공주시 백제문화로 2142, 1동 102호(웅진동)",2022
(주)에이콘아이앤씨,문영철,http://www.acorninc.ent,"대전광역시 유성구 문지로 193, 206호 카이스트 문지캠퍼스 창조관 2116호 (문지동)",2022
주식회사 메비츠,조우석,http://,"충청북도 청주시 서원구 충대로 1, 972-5호 (개신동, 개신동 학연산공동기술연구원)",2022
(주)이현,이덕규,http://www.ehyun.biz,"경기도 부천시 원미로 205, 403호(춘의동, 삼륭인더스파크)",2022
(주)인피니티커넥트,차명건,http://,"경기도 부천시 중동로254번길 90, 6층 6100호 (중동)",2022
(주)플립션코리아,정훈진,http://,"경기도 성남시 수정구 대왕판교로 815, 413호, 818호 (시흥동, 판교창조경제밸리)",2022
주식회사 디쎄타,이정희,http://,"경상남도 창원시 진해구 중원동로 19, 4층(태평동, 드림아트)",2022
"주식회사 아이티에스봄(ITSBom Co.,Ltd)",이황의,http://www.itsbom.co.kr,"서울특별시 영등포구 영등포로 150, A동 11층 14호(당산동1가, 생각공장 당산 )",2022
동양인터엠,서영균,http://,전라남도 광양시 광양읍 예구길 36,2022
이누코퍼레이션,김선진,http://,"서울특별시 노원구 노원로1길 21, 903동 206호 (공릉동, 청솔아파트)",2022
비아이엠에이치 주식회사,홍대희,http://,"서울특별시 중랑구 신내역로 111, 지하1층 110호(신내동, 신내 SK V1 center)",2022
주식회사 비케이에스,강재환,http://,"충청남도 보령시 터미널길 8, 108호의1 (궁촌동)",2022
(주)그린시스템,고미경,http://www.green-system.co.kr,"경기도 안양시 동안구 벌말로 66, 10층 B동 1006호 (관양동, 평촌역하이필드)",2022
뉴인시스 주식회사(NewinSys),김선희,http://,"대전광역시 동구 우암로 339-14, 지층 1호(가양동, 강서빌라) ",2022
주식회사 동현,김명래,http://,강원도 강릉시 신석길 145 (신석동),2022
(주)디엑스플랫폼,이시은,http://www.aptok.co.kr,"서울특별시 구로구 디지털로31길 38-21, 701호 (구로동, 이앤씨벤처드림타워3차) (구로동)",2022
주식회사 민데이타,민석홍,http://www.mindata.co.kr,"세종특별자치시 한누리대로 273, 501호(나성동, 새롬씨티)",2022
신화유통,박성철,http://,"서울특별시 노원구 노원로1길 21, 903동206호 (공릉동, 공릉9단지청솔아파트)",2022
주식회사 디앤샤인,오희재,http://,"경기도 고양시 덕양구 통일로 140, 삼송테크노밸리 B동 B134호(지하1층) (동산동)",2022
주식회사 컬쳐커넥션,유현식,https://www.culturecon.co.kr,"경기도 성남시 수정구 대왕판교로 815, 메타버스허브 411호 (시흥동)",2022
주식회사 오앤,남궁성,http://5n.co.kr,"서울특별시 강서구 마곡중앙1로 26, 6층 604호 (마곡동, 마곡엠리체)",2022
시큐케어 주식회사,"이용균, 김광종",http://,"서울특별시 금천구 가산디지털1로 16, 406-에프호 (가산동, 에스케이브이원에이피타워)",2022
에프랩,박애영,http://,"대전광역시 유성구 죽동로 321, 112동 302호 (죽동, 금성백조예미지아파트)",2022
(주)베가스,김도현,http://begas.co.kr,"서울특별시 중구 세종대로 39, 6층 (남대문로4가, 대한서울상공회의소)",2022
원더 솔루션즈,장원호,http://,"경상남도 창원시 성산구 중앙대로 37, 5층 512호 (중앙동, 경남오피스텔)",2022
(주) 씨제이이엔엠,"구창근, 윤상현",http://,"서울특별시 서초구 과천대로 870-13, 1층(방배동)",2022
주식회사 씨와이크리에이티브그룹(CY creative group),이창영,http://www.cycreative.co.kr,"서울특별시 강남구 봉은사로25길 5, 4층 (논현동, 논현빌딩)",2022
농업회사법인 에코로드 주식회사,조선혜,http://,경기도 광주시 곤지암읍 경충대로312번길 16-29,2022
주식회사 이안하이텍,안치현,http://www.eansolution.com,충청남도 천안시 서북구 입장면 독정기로길 33,2022
(주) QM&E경영컨설팅,김의식,http://qme.co.kr,"경기도 성남시 분당구 황새울로200번길 34, 3층(수내동, 코포모빌딩)",2022
(주)파이브디위드,박영진,http://www.5dwith.com,"경기도 안양시 동안구 시민대로 361, 1동 1층 1503호 (관양동, 에이스평촌타워)",2022
ICTKOREA,권석,http://,"대전광역시 서구 대덕대로 408, 420호 (만년동,테크노월드)",2022
라온컴,김옥경,http://,"충청남도 보령시 대천방조제로 46, 201호 (대천동)",2022
주식회사 헤브런,이원동,http://www.haverun.com,"서울특별시 영등포구 양평로21길 26, 2206호 (양평동5가)",2022
플레이콘(PLAY CON),전달용,http://,"제주특별자치도 제주시 도두봉6길 20, 302호(도두일동)",2022
에이치에스소프트 주식회사,박명석,http://www.hansolsoft.com,"인천광역시 연수구 송도과학로 56, 송도테크노파크BT센터 1004~1007호 (송도동)",2022
주식회사 더블유아이에스네트웍스,김효훈,http://,"경기도 용인시 기흥구 서천로201번길 14, 721,722호 (농서동, 프리미엄원희캐슬 기흥서천)",2022
주식회사 지오톤,오종성,http://,"서울특별시 중구 남대문로 116-6, 107호(삼각동, 범양빌딩) ",2022
주식회사 티에스아이티,박용수,http://www.tsinfotech.co.kr,"서울특별시 영등포구 당산로 171, 502호 (당산동4가, 금강펜테리움아이티타워)",2022
제이트러스트 주식회사,박종국,http://,"충청남도 천안시 서북구 두정역서3길 43, 4층 415호 (두정동, 한성빌딩)",2022
(주)버터플라이드림,장승우,http://butterflydream.net,"전라남도 나주시 정보화길 26, 412호 (빛가람동)",2022
주식회사 비블리아,윤덕옥,http://,"서울특별시 영등포구 양평로 77, 433호 (양평동4가)",2022
(주) 굿앤그레이트테크놀로지,이성오,http://,"서울특별시 금천구 가산디지털1로 88, 1605 (가산동)",2022
사이클롭스주식회사,최남호,http://cyclops.kr,"서울특별시 강남구 강남대로124길 3-9, 4층 5층 (논현동)",2022
주식회사 케이아이오티,김동옥,http://,"충청북도 청주시 서원구 충대로 1, 충북대학교 학연산공동기술연구원 9층 스타트업타운 972-7호 (개신동)",2022
버즈앤비 주식회사,심충보,https://vling.net/ko,"경기도 성남시 분당구 분당내곡로 117, 워크앤올 416호(백현동, 크래프톤타워)(백현동)",2022
주식회사 시스엠,이원동,http://,"서울특별시 영등포구 양평로21길 26, 22층 6호일부 (양평동5가, 선유도역1차아이에스비즈타워)",2022
합자회사 한진통신,김창엽,http://,강원도 정선군 정선읍 녹송로 270  ,2022
주식회사 포알엑스,배준우,http://,"서울특별시 마포구 독막로 88, 4층 (상수동)",2022
엑티브아이티 주식회사,류수석,https://lguplusit.co.kr/,"경기도 수원시 장안구 송원로 47, 3층 4층(송죽동, 해동프라자)",2022
주식회사 상록컴퍼니,"김은아,박영민",http://,"서울특별시 은평구 통일로67길 8, 203호 (대조동, 예가크레시아)",2022
네모픽쳐스,김유진,http://,"서울특별시 은평구 진관3로 32, B동 8층 B803호(진관동, 은평뉴타운파크앤타워)",2022
주식회사 크레비쥬,김경환,http://www.crevizu.com,"서울특별시 금천구 가산디지털2로 98, 롯데IT캐슬 1동 1012호 (가산동)",2022
주식회사 솔북,서영은,http://,"경기도 김포시 김포한강11로 312, 2층 216호(운양동, 리앤포레2차) ",2022
(주) 범한엔지니어링종합건축사사무소,"함영욱, 양종윤",http://,"경상남도 창원시 의창구 의안로8번길 23  (소답동,범한빌딩)",2022
미디어팩토리,김승현,http://www.mediafactory.kr,"서울특별시 영등포구 양평로22길 13, 지하1층 (양평동5가, 라이너빌딩)",2022
주식회사 오픈핑거스,이기호,http://,"경기도 안산시 단원구 광덕대로 154, 419-2-6호(고잔동, 로데오타운)",2022
